hosts,award,nominees,presenters,winner
amy poehler,best screenplay - motion picture,"[zero dark thirty, lincoln, silver linings playbook, argo, django unchained]","[robert pattinson, amanda seyfried]",django unchained
tina fey,best director - motion picture,"[kathryn bigelow, ang lee, steven spielberg, quentin tarantino, ben affleck]",[halle berry],ben affleck
,best performance by an actress in a television series - comedy or musical,"[zooey deschanel, tina fey, julia louis-dreyfus, amy poehler, lena dunham]","[aziz ansari, jason bateman]",lena dunham
,best foreign language film,"[the intouchables, kon tiki, a royal affair, rust and bone, amour]","[arnold schwarzenegger, sylvester stallone]",amour
,best performance by an actor in a supporting role in a motion picture,"[alan arkin, leonardo dicaprio, philip seymour hoffman, tommy lee jones, christoph waltz]","[bradley cooper, kate hudson]",christoph waltz
,"best performance by an actress in a supporting role in a series, mini-series or motion picture made for television","[hayden panettiere, archie panjabi, sarah paulson, sofia vergara, maggie smith]","[dennis quaid, kerry washington]",maggie smith
,best motion picture - comedy or musical,"[the best exotic marigold hotel, moonrise kingdom, salmon fishing in the yemen, silver linings playbook, les miserables]",[dustin hoffman],les miserables
,best performance by an actress in a motion picture - comedy or musical,"[emily blunt, judi dench, maggie smith, meryl streep, jennifer lawrence]","[will ferrell, kristen wiig]",jennifer lawrence
,best mini-series or motion picture made for television,"[the girl, hatfields & mccoys, the hour, political animals, game change]","[don cheadle, eva longoria]",game change
,best original score - motion picture,"[argo, anna karenina, cloud atlas, lincoln, life of pi]","[jennifer lopez, jason statham]",life of pi
,best performance by an actress in a television series - drama,"[connie britton, glenn close, michelle dockery, julianna margulies, claire danes]","[nathan fillion, lea michele]",claire danes
,best performance by an actress in a motion picture - drama,"[marion cotillard, sally field, helen mirren, naomi watts, rachel weisz, jessica chastain]",[george clooney],jessica chastain
,cecil b. demille award,[],"[robert downey, jr.]",jodie foster
,best performance by an actor in a motion picture - comedy or musical,"[jack black, bradley cooper, ewan mcgregor, bill murray, hugh jackman]",[jennifer garner],hugh jackman
,best motion picture - drama,"[django unchained, life of pi, lincoln, zero dark thirty, argo]",[julia roberts],argo
,"best performance by an actor in a supporting role in a series, mini-series or motion picture made for television","[max greenfield, danny huston, mandy patinkin, eric stonestreet, ed harris]","[kristen bell, john krasinski]",ed harris
,best performance by an actress in a supporting role in a motion picture,"[amy adams, sally field, helen hunt, nicole kidman, anne hathaway]","[megan fox, jonah hill]",anne hathaway
,best television series - drama,"[boardwalk empire, breaking bad, downton abbey (masterpiece), the newsroom, homeland]","[salma hayek, paul rudd]",homeland
,best performance by an actor in a mini-series or motion picture made for television,"[benedict cumberbatch, woody harrelson, toby jones, clive owen, kevin costner]","[jessica alba, kiefer sutherland]",kevin costner
,best performance by an actress in a mini-series or motion picture made for television,"[nicole kidman, jessica lange, sienna miller, sigourney weaver, julianne moore]","[don cheadle, eva longoria]",julianne moore
,best animated feature film,"[frankenweenie, hotel transylvania, rise of the guardians, wreck-it ralph, brave]",[sacha baron cohen],brave
,best original song - motion picture,"[act of valor, stand up guys, the hunger games, les miserables, skyfall]","[jennifer lopez, jason statham]",skyfall
,best performance by an actor in a motion picture - drama,"[richard gere, john hawkes, joaquin phoenix, denzel washington, daniel day-lewis]",[george clooney],daniel day-lewis
,best television series - comedy or musical,"[the big bang theory, episodes, modern family, smash, girls]","[jimmy fallon, jay leno]",girls
,best performance by an actor in a television series - drama,"[steve buscemi, bryan cranston, jeff daniels, jon hamm, damian lewis]","[salma hayek, paul rudd]",damian lewis
,best performance by an actor in a television series - comedy or musical,"[alec baldwin, louis c.k., matt leblanc, jim parsons, don cheadle]","[lucy liu, debra messing]",don cheadle
